resourceProvider,resourceType,resourceGroup,subscription,regionMove
microsoft.aad,domainservices,No,No,No
microsoft.aadiam,diagnosticsettings,No,No,No
microsoft.aadiam,diagnosticsettingscategories,No,No,No
microsoft.aadiam,privatelinkforazuread,Yes,Yes,No
microsoft.aadiam,tenants,Yes,Yes,No
microsoft.addons,supportproviders,No,No,No
microsoft.adhybridhealthservice,aadsupportcases,No,No,No
microsoft.adhybridhealthservice,addsservices,No,No,No
microsoft.adhybridhealthservice,agents,No,No,No
microsoft.adhybridhealthservice,anonymousapiusers,No,No,No
microsoft.adhybridhealthservice,configuration,No,No,No
microsoft.adhybridhealthservice,logs,No,No,No
microsoft.adhybridhealthservice,reports,No,No,No
microsoft.adhybridhealthservice,servicehealthmetrics,No,No,No
microsoft.adhybridhealthservice,services,No,No,No
microsoft.advisor,configurations,No,No,No
microsoft.advisor,generaterecommendations,No,No,No
microsoft.advisor,metadata,No,No,No
microsoft.advisor,recommendations,No,No,No
microsoft.advisor,suppressions,No,No,No
microsoft.alertsmanagement,alertprocessingrules,No,Yes,No
microsoft.alertsmanagement,alerts,No,No,No
microsoft.alertsmanagement,alertslist,No,No,No
microsoft.alertsmanagement,alertsmetadata,No,No,No
microsoft.alertsmanagement,alertssummary,No,No,No
microsoft.alertsmanagement,alertssummarylist,No,No,No
microsoft.alertsmanagement,smartdetectoralertrules,Yes,Yes,No
microsoft.alertsmanagement,smartgroups,No,No,No
microsoft.analysisservices,servers,Yes,Yes,No
microsoft.apimanagement,reportfeedback,No,No,No
microsoft.apimanagement,service,Yes,Yes,Yes
microsoft.app,managedenvironments,Yes,Yes,No
microsoft.appconfiguration,configurationstores,Yes,Yes,No
microsoft.appconfiguration,configurationstores/eventgridfilters,No,No,No
microsoft.appplatform,spring,Yes,Yes,No
microsoft.appservice,apiapps,No,No,Yes
microsoft.appservice,appidentities,No,No,No
microsoft.appservice,gateways,No,No,No
microsoft.attestation,attestationproviders,No,No,No
microsoft.authorization,classicadministrators,No,No,No
microsoft.authorization,dataaliases,No,No,No
microsoft.authorization,denyassignments,No,No,No
microsoft.authorization,elevateaccess,No,No,No
microsoft.authorization,findorphanroleassignments,No,No,No
microsoft.authorization,locks,No,No,No
microsoft.authorization,permissions,No,No,No
microsoft.authorization,policyassignments,No,No,No
microsoft.authorization,policydefinitions,No,No,No
microsoft.authorization,policysetdefinitions,No,No,No
microsoft.authorization,privatelinkassociations,No,No,No
microsoft.authorization,resourcemanagementprivatelinks,No,No,No
microsoft.authorization,roleassignments,No,No,No
microsoft.authorization,roleassignmentsusagemetrics,No,No,No
microsoft.authorization,roledefinitions,No,No,No
microsoft.automation,automationaccounts,Yes,Yes,
microsoft.automation,automationaccounts/configurations,Yes,Yes,No
microsoft.automation,automationaccounts/runbooks,Yes,Yes,No
microsoft.avs,privateclouds,Yes,Yes,No
microsoft.azureactivedirectory,b2cdirectories,Yes,Yes,No
microsoft.azureactivedirectory,b2ctenants,No,No,No
microsoft.azurearcdata,datacontrollers,No,No,No
microsoft.azurearcdata,postgresinstances,No,No,No
microsoft.azurearcdata,sqlmanagedinstances,No,No,No
microsoft.azurearcdata,sqlserverinstances,No,No,No
microsoft.azurearcdata,sqlserverlicenses,No,No,No
microsoft.azuredata,datacontrollers,No,No,No
microsoft.azuredata,hybriddatamanagers,No,No,No
microsoft.azuredata,postgresinstances,No,No,No
microsoft.azuredata,sqlinstances,No,No,No
microsoft.azuredata,sqlmanagedinstances,No,No,No
microsoft.azuredata,sqlserverinstances,No,No,No
microsoft.azuredata,sqlserverregistrations,Yes,Yes,No
microsoft.azurestack,cloudmanifestfiles,No,No,No
microsoft.azurestack,registrations,Yes,Yes,No
microsoft.azurestackhci,clusters,No,No,No
microsoft.batch,batchaccounts,Yes,Yes,
microsoft.billing,billingaccounts,No,No,No
microsoft.billing,billingperiods,No,No,No
microsoft.billing,billingpermissions,No,No,No
microsoft.billing,billingproperty,No,No,No
microsoft.billing,billingroleassignments,No,No,No
microsoft.billing,billingroledefinitions,No,No,No
microsoft.billing,departments,No,No,No
microsoft.billing,enrollmentaccounts,No,No,No
microsoft.billing,invoices,No,No,No
microsoft.billing,transfers,No,No,No
microsoft.bingmaps,mapapis,No,No,No
microsoft.biztalkservices,biztalk,No,No,No
microsoft.blockchain,blockchainmembers,No,No,No
microsoft.blockchain,cordamembers,No,No,No
microsoft.blockchain,watchers,No,No,No
microsoft.blockchaintokens,tokenservices,No,No,No
microsoft.blueprint,blueprintassignments,No,No,No
microsoft.blueprint,blueprints,No,No,No
microsoft.botservice,botservices,Yes,Yes,No
microsoft.cache,redis,Yes,Yes,No
microsoft.cache,redisenterprise,No,No,No
microsoft.capacity,appliedreservations,No,No,No
microsoft.capacity,calculateexchange,No,No,No
microsoft.capacity,calculateprice,No,No,No
microsoft.capacity,calculatepurchaseprice,No,No,No
microsoft.capacity,catalogs,No,No,No
microsoft.capacity,commercialreservationorders,No,No,No
microsoft.capacity,exchange,No,No,No
microsoft.capacity,reservationorders,No,No,No
microsoft.capacity,reservations,No,No,No
microsoft.capacity,resources,No,No,No
microsoft.capacity,validatereservationorder,No,No,No
microsoft.cdn,cdnwebapplicationfirewallmanagedrulesets,No,No,No
microsoft.cdn,cdnwebapplicationfirewallpolicies,Yes,Yes,No
microsoft.cdn,edgenodes,No,No,No
microsoft.cdn,profiles,Yes,Yes,No
microsoft.cdn,profiles/endpoints,Yes,Yes,No
microsoft.certificateregistration,certificateorders,Yes,Yes,No
microsoft.classiccompute,capabilities,No,No,No
microsoft.classiccompute,domainnames,Yes,No,No
microsoft.classiccompute,quotas,No,No,No
microsoft.classiccompute,resourcetypes,No,No,No
microsoft.classiccompute,validatesubscriptionmoveavailability,No,No,No
microsoft.classiccompute,virtualmachines,Yes,Yes,No
microsoft.classicinfrastructuremigrate,classicinfrastructureresources,No,No,No
microsoft.classicnetwork,capabilities,No,No,No
microsoft.classicnetwork,expressroutecrossconnections,No,No,No
microsoft.classicnetwork,expressroutecrossconnections/peerings,No,No,No
microsoft.classicnetwork,gatewaysupporteddevices,No,No,No
microsoft.classicnetwork,networksecuritygroups,No,No,No
microsoft.classicnetwork,quotas,No,No,No
microsoft.classicnetwork,reservedips,No,No,No
microsoft.classicnetwork,virtualnetworks,No,No,No
microsoft.classicstorage,disks,No,No,No
microsoft.classicstorage,images,No,No,No
microsoft.classicstorage,osimages,No,No,No
microsoft.classicstorage,osplatformimages,No,No,No
microsoft.classicstorage,publicimages,No,No,No
microsoft.classicstorage,quotas,No,No,No
microsoft.classicstorage,storageaccounts,Yes,No,Yes
microsoft.classicstorage,vmimages,No,No,No
microsoft.classicsubscription,operations,No,No,No
microsoft.cognitiveservices,accounts,Yes,Yes,No
microsoft.cognitiveservices,cognitive search,Yes,Yes,
microsoft.commerce,ratecard,No,No,No
microsoft.commerce,usageaggregates,No,No,No
microsoft.communication,communicationservices,Yes,Yes,No
microsoft.compute,availabilitysets,Yes,Yes,Yes
microsoft.compute,diskaccesses,No,No,No
microsoft.compute,diskencryptionsets,No,No,No
microsoft.compute,disks,Yes,Yes,Yes
microsoft.compute,galleries,No,No,No
microsoft.compute,galleries/images,No,No,No
microsoft.compute,galleries/images/versions,No,No,No
microsoft.compute,hostgroups,No,No,No
microsoft.compute,hostgroups/hosts,No,No,No
microsoft.compute,images,Yes,Yes,No
microsoft.compute,proximityplacementgroups,Yes,Yes,No
microsoft.compute,restorepointcollections,No,No,No
microsoft.compute,restorepointcollections/restorepoints,No,No,No
microsoft.compute,sharedvmextensions,No,No,No
microsoft.compute,sharedvmimages,No,No,No
microsoft.compute,sharedvmimages/versions,No,No,No
microsoft.compute,snapshots,Yes,Yes,No
microsoft.compute,sshpublickeys,No,No,No
microsoft.compute,virtualmachines,Yes,Yes,Yes
microsoft.compute,virtualmachines/extensions,Yes,Yes,No
microsoft.compute,virtualmachinescalesets,Yes,Yes,No
microsoft.compute,capabilities,No,No,No
microsoft.compute,domainnames,Yes,No,No
microsoft.compute,quotas,No,No,No
microsoft.compute,resourcetypes,No,No,No
microsoft.compute,validatesubscriptionmoveavailability,No,No,No
microsoft.compute,virtualmachines,Yes,Yes,No
microsoft.confluent,organizations,No,No,No
microsoft.consumption,aggregatedcost,No,No,No
microsoft.consumption,balances,No,No,No
microsoft.consumption,budgets,No,No,No
microsoft.consumption,charges,No,No,No
microsoft.consumption,costtags,No,No,No
microsoft.consumption,credits,No,No,No
microsoft.consumption,events,No,No,No
microsoft.consumption,forecasts,No,No,No
microsoft.consumption,lots,No,No,No
microsoft.consumption,marketplaces,No,No,No
microsoft.consumption,pricesheets,No,No,No
microsoft.consumption,products,No,No,No
microsoft.consumption,reservationdetails,No,No,No
microsoft.consumption,reservationrecommendationdetails,No,No,No
microsoft.consumption,reservationrecommendations,No,No,No
microsoft.consumption,reservationsummaries,No,No,No
microsoft.consumption,reservationtransactions,No,No,No
microsoft.consumption,tags,No,No,No
microsoft.consumption,tenants,No,No,No
microsoft.consumption,terms,No,No,No
microsoft.consumption,usagedetails,No,No,No
microsoft.containerinstance,containergroups,No,No,No
microsoft.containerinstance,serviceassociationlinks,No,No,No
microsoft.containerregistry,registries,Yes,Yes,No
microsoft.containerregistry,registries/agentpools,Yes,Yes,No
